algorithm,input_type,n,time_ms,max_depth,comparisons,swaps,extra
MergeSort,random,100,0.070540,4,869,0,
MergeSort,sorted,100,0.040280,4,583,0,
MergeSort,reverse,100,0.040080,4,731,0,
MergeSort,nearly_sorted,100,0.011160,4,662,0,
QuickSort,random,100,0.090100,2,895,234,
QuickSort,sorted,100,0.085120,2,824,189,
QuickSort,reverse,100,0.036700,2,882,231,
QuickSort,duplicates,100,0.136720,1,4950,4998,
DeterministicSelect,random_median,100,0.081120,3,241,0,k=50
ClosestPair,uniform_random,100,1.220220,7,644,0,dist=5878.747308
MergeSort,random,500,0.179020,6,6141,0,
MergeSort,sorted,500,0.008440,6,3691,0,
MergeSort,reverse,500,0.062900,6,4931,0,
MergeSort,nearly_sorted,500,0.091960,6,4947,0,
QuickSort,random,500,0.789360,3,5885,1924,
QuickSort,sorted,500,0.088380,3,5679,1842,
QuickSort,reverse,500,0.317680,3,5898,2166,
QuickSort,duplicates,500,2.138780,1,124750,125598,
DeterministicSelect,random_median,500,0.219820,4,1453,0,k=250
ClosestPair,uniform_random,500,3.647980,9,4543,0,dist=885.570133
MergeSort,random,1000,0.203820,7,13242,0,
MergeSort,sorted,1000,0.010000,7,7383,0,
MergeSort,reverse,1000,0.095840,7,10363,0,
MergeSort,nearly_sorted,1000,0.077920,7,10882,0,
QuickSort,random,1000,0.177360,4,13295,4674,
QuickSort,sorted,1000,0.058800,4,13160,4623,
QuickSort,reverse,1000,0.059180,4,12941,4437,
QuickSort,duplicates,1000,1.309580,1,499500,501348,
DeterministicSelect,random_median,1000,0.172420,5,2810,0,k=500
ClosestPair,uniform_random,1000,6.037760,10,10036,0,dist=139.348415
MergeSort,random,5000,1.603860,10,66488,0,
MergeSort,sorted,5000,0.056520,10,22471,0,
MergeSort,reverse,5000,0.827720,10,44835,0,
MergeSort,nearly_sorted,5000,0.540120,10,53305,0,
QuickSort,random,5000,0.867480,6,80984,29665,
QuickSort,sorted,5000,0.230360,6,80115,30350,
QuickSort,reverse,5000,0.695880,5,80759,30684,
QuickSort,duplicates,5000,16.447220,2,2507253,2510688,
DeterministicSelect,random_median,5000,1.357140,6,15683,0,k=2500
ClosestPair,uniform_random,5000,53.344820,12,61414,0,dist=59.672914
MergeSort,random,10000,22.988580,11,143034,0,
MergeSort,sorted,10000,0.070780,11,44943,0,
MergeSort,reverse,10000,2.445680,11,94671,0,
MergeSort,nearly_sorted,10000,1.101320,11,115313,0,
QuickSort,random,10000,2.531380,6,181258,71316,
QuickSort,sorted,10000,0.843680,7,174046,70029,
QuickSort,reverse,10000,4.806360,6,180894,70071,
QuickSort,duplicates,10000,19.422700,3,5037724,5037584,
DeterministicSelect,random_median,10000,1.172680,6,31599,0,k=5000
ClosestPair,uniform_random,10000,55.100480,13,132932,0,dist=74.158322
MergeSort,random,50000,9.260160,13,876853,0,
MergeSort,sorted,50000,0.321720,13,284607,0,
MergeSort,reverse,50000,3.447840,13,583503,0,
MergeSort,nearly_sorted,50000,3.573020,13,751708,0,
QuickSort,random,50000,8.460100,8,1042710,408375,
QuickSort,sorted,50000,3.359520,8,1043218,427633,
QuickSort,reverse,50000,4.024680,8,1031208,422526,
QuickSort,duplicates,50000,94.086880,4,25371455,25281400,
DeterministicSelect,random_median,50000,4.285740,7,162039,0,k=25000
ClosestPair,uniform_random,50000,171.114300,16,774509,0,dist=7.079260
MergeSort,random,100000,20.058980,14,1853578,0,
MergeSort,sorted,100000,1.187080,14,569215,0,
MergeSort,reverse,100000,7.958060,14,1217007,0,
MergeSort,nearly_sorted,100000,7.190380,14,1613704,0,
QuickSort,random,100000,16.800940,8,2275039,934704,
QuickSort,sorted,100000,6.428980,9,2222747,898597,
QuickSort,reverse,100000,8.019080,9,2218593,903718,
QuickSort,duplicates,100000,186.975580,5,50879469,50629504,
DeterministicSelect,random_median,100000,8.599660,8,326780,0,k=50000
